Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 161.22922	 0	 5.7156437	 1564.8385	 Si PPv (Sakai)
75	 0.00010843068	 161.22922	 1.3260195e-12	 5.7156437	 1564.8385	 Si PPv (Sakai)
110	 0.00021759073	 161.22922	 1.0715553e-11	 5.7156436	 1564.8385	 Si PPv (Sakai)
131	 0.00033047098	 161.2292	 3.7539923e-11	 5.7156435	 1564.8385	 Si PPv (Sakai)
146	 0.00044542147	 161.22919	 9.1919319e-11	 5.7156434	 1564.8384	 Si PPv (Sakai)
157	 0.00055441998	 161.22917	 1.7725968e-10	 5.7156432	 1564.8384	 Si PPv (Sakai)
166	 0.00066316494	 161.22914	 3.033598e-10	 5.7156431	 1564.8383	 Si PPv (Sakai)
174	 0.00077760979	 161.22911	 4.8907843e-10	 5.7156428	 1564.8383	 Si PPv (Sakai)
181	 0.00089383914	 161.22908	 7.4279921e-10	 5.7156426	 1564.8382	 Si PPv (Sakai)
187	 0.0010071972	 161.22904	 1.0627639e-09	 5.7156423	 1564.8381	 Si PPv (Sakai)
193	 0.0011349314	 161.22898	 1.520555e-09	 5.7156419	 1564.838	 Si PPv (Sakai)
198	 0.0012536671	 161.22893	 2.0494623e-09	 5.7156415	 1564.8378	 Si PPv (Sakai)
203	 0.0013848248	 161.22887	 2.7623438e-09	 5.715641	 1564.8377	 Si PPv (Sakai)
207	 0.0014995637	 161.22881	 3.5074215e-09	 5.7156406	 1564.8376	 Si PPv (Sakai)
211	 0.0016238092	 161.22873	 4.4534664e-09	 5.71564	 1564.8374	 Si PPv (Sakai)
215	 0.001758349	 161.22865	 5.6546848e-09	 5.7156394	 1564.8372	 Si PPv (Sakai)
218	 0.0018665199	 161.22858	 6.7638048e-09	 5.7156389	 1564.837	 Si PPv (Sakai)
221	 0.0019813454	 161.22849	 8.0904695e-09	 5.7156383	 1564.8368	 Si PPv (Sakai)
224	 0.0021032348	 161.2284	 9.6773486e-09	 5.7156376	 1564.8366	 Si PPv (Sakai)
227	 0.0022326226	 161.2283	 1.1575481e-08	 5.7156368	 1564.8364	 Si PPv (Sakai)
230	 0.0023699702	 161.22818	 1.3845916e-08	 5.7156359	 1564.8361	 Si PPv (Sakai)
233	 0.0025157672	 161.22805	 1.6561678e-08	 5.715635	 1564.8358	 Si PPv (Sakai)
236	 0.0026705334	 161.2279	 1.9810114e-08	 5.7156339	 1564.8355	 Si PPv (Sakai)
238	 0.0027789648	 161.22779	 2.232246e-08	 5.7156331	 1564.8352	 Si PPv (Sakai)
240	 0.0028917989	 161.22767	 2.5153426e-08	 5.7156322	 1564.8349	 Si PPv (Sakai)
242	 0.0030092144	 161.22754	 2.8343419e-08	 5.7156312	 1564.8346	 Si PPv (Sakai)
244	 0.0031313974	 161.2274	 3.193797e-08	 5.7156302	 1564.8343	 Si PPv (Sakai)
246	 0.0032585412	 161.22725	 3.5988387e-08	 5.7156291	 1564.834	 Si PPv (Sakai)
248	 0.0033908476	 161.22709	 4.0552484e-08	 5.7156279	 1564.8336	 Si PPv (Sakai)
250	 0.0035285259	 161.22691	 4.5695405e-08	 5.7156266	 1564.8332	 Si PPv (Sakai)
252	 0.0036717944	 161.22672	 5.1490557e-08	 5.7156251	 1564.8327	 Si PPv (Sakai)
254	 0.00382088	 161.22651	 5.8020658e-08	 5.7156236	 1564.8322	 Si PPv (Sakai)
256	 0.0039760189	 161.22629	 6.5378914e-08	 5.7156219	 1564.8317	 Si PPv (Sakai)
