Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 111.84252	 0	 4.1875505	 1226.087	 Diamond
73	 0.00011558518	 111.84252	 1.1767787e-12	 4.1875505	 1226.087	 Diamond
108	 0.00023194787	 111.84251	 9.5095388e-12	 4.1875505	 1226.087	 Diamond
129	 0.00035227621	 111.8425	 3.331488e-11	 4.1875504	 1226.087	 Diamond
144	 0.00047481139	 111.84249	 8.1573985e-11	 4.1875504	 1226.087	 Diamond
155	 0.00059100187	 111.84248	 1.5730947e-10	 4.1875503	 1226.087	 Diamond
164	 0.00070692207	 111.84247	 2.6921727e-10	 4.1875502	 1226.087	 Diamond
172	 0.00082891826	 111.84245	 4.3403365e-10	 4.1875501	 1226.0869	 Diamond
179	 0.00095281668	 111.84243	 6.5919868e-10	 4.18755	 1226.0869	 Diamond
185	 0.0010736543	 111.8424	 9.43152e-10	 4.1875499	 1226.0869	 Diamond
191	 0.0012098168	 111.84237	 1.3494197e-09	 4.1875497	 1226.0869	 Diamond
196	 0.0013363869	 111.84234	 1.8187996e-09	 4.1875496	 1226.0868	 Diamond
201	 0.0014761987	 111.8423	 2.4514478e-09	 4.1875494	 1226.0868	 Diamond
205	 0.0015985083	 111.84226	 3.1126686e-09	 4.1875492	 1226.0868	 Diamond
209	 0.0017309518	 111.84222	 3.9522383e-09	 4.187549	 1226.0867	 Diamond
213	 0.0018743688	 111.84217	 5.0182623e-09	 4.1875487	 1226.0867	 Diamond
216	 0.0019896772	 111.84212	 6.0025533e-09	 4.1875485	 1226.0867	 Diamond
219	 0.0021120791	 111.84207	 7.179905e-09	 4.1875482	 1226.0866	 Diamond
222	 0.002242011	 111.84202	 8.5881845e-09	 4.1875479	 1226.0866	 Diamond
225	 0.0023799362	 111.84195	 1.0272686e-08	 4.1875476	 1226.0865	 Diamond
228	 0.0025263462	 111.84188	 1.228759e-08	 4.1875472	 1226.0864	 Diamond
231	 0.0026817632	 111.8418	 1.4697699e-08	 4.1875468	 1226.0864	 Diamond
234	 0.0028467412	 111.84171	 1.7580532e-08	 4.1875463	 1226.0863	 Diamond
236	 0.0029623273	 111.84164	 1.9810121e-08	 4.187546	 1226.0862	 Diamond
238	 0.0030826064	 111.84157	 2.2322469e-08	 4.1875456	 1226.0862	 Diamond
240	 0.0032077693	 111.84149	 2.5153436e-08	 4.1875452	 1226.0861	 Diamond
242	 0.0033380141	 111.84141	 2.8343431e-08	 4.1875447	 1226.086	 Diamond
244	 0.0034735472	 111.84131	 3.1937985e-08	 4.1875443	 1226.086	 Diamond
246	 0.0036145834	 111.84121	 3.5988406e-08	 4.1875437	 1226.0859	 Diamond
248	 0.003761346	 111.84111	 4.0552507e-08	 4.1875432	 1226.0858	 Diamond
250	 0.0039140677	 111.84099	 4.5695433e-08	 4.1875426	 1226.0857	 Diamond
252	 0.0040729903	 111.84086	 5.1490591e-08	 4.1875419	 1226.0856	 Diamond
254	 0.0042383656	 111.84073	 5.80207e-08	 4.1875412	 1226.0854	 Diamond
256	 0.0044104556	 111.84058	 6.5378965e-08	 4.1875404	 1226.0853	 Diamond
258	 0.004589533	 111.84042	 7.3670415e-08	 4.1875396	 1226.0852	 Diamond
260	 0.0047758815	 111.84024	 8.3013398e-08	 4.1875387	 1226.085	 Diamond
262	 0.0049697963	 111.84005	 9.3541269e-08	 4.1875377	 1226.0849	 Diamond
264	 0.0051715845	 111.83985	 1.054043e-07	 4.1875367	 1226.0847	 Diamond
266	 0.005381566	 111.83963	 1.1877181e-07	 4.1875355	 1226.0845	 Diamond
268	 0.0056000733	 111.83939	 1.3383461e-07	 4.1875343	 1226.0843	 Diamond
270	 0.0058274527	 111.83913	 1.5080769e-07	 4.1875329	 1226.0841	 Diamond
271	 0.0059445814	 111.83899	 1.6008513e-07	 4.1875322	 1226.0839	 Diamond
272	 0.0060640643	 111.83885	 1.6993331e-07	 4.1875315	 1226.0838	 Diamond
273	 0.0061859488	 111.8387	 1.8038733e-07	 4.1875307	 1226.0837	 Diamond
274	 0.0063102831	 111.83855	 1.9148447e-07	 4.1875299	 1226.0836	 Diamond
275	 0.0064371165	 111.83839	 2.0326428e-07	 4.1875291	 1226.0834	 Diamond
276	 0.0065664991	 111.83822	 2.1576876e-07	 4.1875282	 1226.0833	 Diamond
