Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 164.61931	 0	 5.8005618	 461.75689	 Si PPv (Sakai)
75	 0.00010789895	 164.61931	 1.3260195e-12	 5.8005617	 461.75689	 Si PPv (Sakai)
110	 0.00021652369	 164.6193	 1.0715553e-11	 5.8005617	 461.75689	 Si PPv (Sakai)
131	 0.00032885039	 164.61929	 3.7539923e-11	 5.8005616	 461.75688	 Si PPv (Sakai)
146	 0.00044323717	 164.61928	 9.1919319e-11	 5.8005615	 461.75687	 Si PPv (Sakai)
157	 0.00055170116	 164.61925	 1.7725969e-10	 5.8005613	 461.75685	 Si PPv (Sakai)
166	 0.00065991285	 164.61923	 3.033598e-10	 5.8005611	 461.75684	 Si PPv (Sakai)
174	 0.00077379648	 164.6192	 4.8907843e-10	 5.8005609	 461.75682	 Si PPv (Sakai)
181	 0.00088945585	 164.61916	 7.4279921e-10	 5.8005607	 461.75679	 Si PPv (Sakai)
187	 0.001002258	 164.61912	 1.0627639e-09	 5.8005604	 461.75677	 Si PPv (Sakai)
193	 0.0011293658	 164.61907	 1.520555e-09	 5.80056	 461.75673	 Si PPv (Sakai)
198	 0.0012475192	 164.61902	 2.0494623e-09	 5.8005596	 461.7567	 Si PPv (Sakai)
203	 0.0013780337	 164.61895	 2.7623438e-09	 5.8005591	 461.75665	 Si PPv (Sakai)
207	 0.00149221	 164.61889	 3.5074215e-09	 5.8005586	 461.75661	 Si PPv (Sakai)
211	 0.0016158462	 164.61881	 4.4534664e-09	 5.8005581	 461.75656	 Si PPv (Sakai)
215	 0.0017497262	 164.61873	 5.6546848e-09	 5.8005575	 461.75651	 Si PPv (Sakai)
218	 0.0018573667	 164.61865	 6.7638048e-09	 5.8005569	 461.75646	 Si PPv (Sakai)
221	 0.0019716291	 164.61857	 8.0904696e-09	 5.8005563	 461.7564	 Si PPv (Sakai)
224	 0.0020929208	 164.61848	 9.6773486e-09	 5.8005556	 461.75634	 Si PPv (Sakai)
227	 0.0022216741	 164.61837	 1.1575481e-08	 5.8005549	 461.75627	 Si PPv (Sakai)
230	 0.0023583481	 164.61825	 1.3845916e-08	 5.800554	 461.75619	 Si PPv (Sakai)
233	 0.0025034301	 164.61811	 1.6561678e-08	 5.800553	 461.7561	 Si PPv (Sakai)
236	 0.0026574374	 164.61796	 1.9810114e-08	 5.8005519	 461.756	 Si PPv (Sakai)
238	 0.0027653371	 164.61785	 2.232246e-08	 5.8005511	 461.75593	 Si PPv (Sakai)
240	 0.0028776179	 164.61773	 2.5153426e-08	 5.8005502	 461.75585	 Si PPv (Sakai)
242	 0.0029944576	 164.6176	 2.8343419e-08	 5.8005492	 461.75576	 Si PPv (Sakai)
244	 0.0031160413	 164.61746	 3.193797e-08	 5.8005482	 461.75567	 Si PPv (Sakai)
246	 0.0032425617	 164.6173	 3.5988388e-08	 5.8005471	 461.75556	 Si PPv (Sakai)
248	 0.0033742192	 164.61713	 4.0552484e-08	 5.8005458	 461.75545	 Si PPv (Sakai)
250	 0.0035112224	 164.61695	 4.5695405e-08	 5.8005445	 461.75533	 Si PPv (Sakai)
252	 0.0036537883	 164.61676	 5.1490558e-08	 5.8005431	 461.75521	 Si PPv (Sakai)
254	 0.0038021428	 164.61655	 5.8020659e-08	 5.8005415	 461.75507	 Si PPv (Sakai)
256	 0.0039565209	 164.61632	 6.5378915e-08	 5.8005399	 461.75491	 Si PPv (Sakai)
258	 0.0041171673	 164.61607	 7.3670354e-08	 5.8005381	 461.75475	 Si PPv (Sakai)
260	 0.0042843363	 164.6158	 8.3013323e-08	 5.8005361	 461.75457	 Si PPv (Sakai)
262	 0.0044582929	 164.61551	 9.3541178e-08	 5.800534	 461.75438	 Si PPv (Sakai)
264	 0.0046393126	 164.6152	 1.0540419e-07	 5.8005317	 461.75417	 Si PPv (Sakai)
266	 0.0048276823	 164.61485	 1.1877168e-07	 5.8005292	 461.75395	 Si PPv (Sakai)
268	 0.0050237004	 164.61448	 1.3383444e-07	 5.8005265	 461.7537	 Si PPv (Sakai)
270	 0.0052276773	 164.61408	 1.5080749e-07	 5.8005235	 461.75344	 Si PPv (Sakai)
272	 0.0054399364	 164.61365	 1.6993306e-07	 5.8005204	 461.75315	 Si PPv (Sakai)
273	 0.0055492762	 164.61342	 1.8038706e-07	 5.8005187	 461.753	 Si PPv (Sakai)
274	 0.0056608137	 164.61318	 1.9148417e-07	 5.8005169	 461.75284	 Si PPv (Sakai)
275	 0.0057745931	 164.61293	 2.0326395e-07	 5.8005151	 461.75268	 Si PPv (Sakai)
276	 0.0058906594	 164.61267	 2.157684e-07	 5.8005132	 461.75251	 Si PPv (Sakai)
277	 0.0060090585	 164.6124	 2.290421e-07	 5.8005113	 461.75233	 Si PPv (Sakai)
278	 0.0061298374	 164.61212	 2.4313238e-07	 5.8005092	 461.75214	 Si PPv (Sakai)
279	 0.0062530439	 164.61183	 2.5808946e-07	 5.8005071	 461.75195	 Si PPv (Sakai)
280	 0.0063787268	 164.61153	 2.7396667e-07	 5.8005049	 461.75175	 Si PPv (Sakai)
281	 0.0065069358	 164.61121	 2.9082063e-07	 5.8005025	 461.75154	 Si PPv (Sakai)
282	 0.0066377218	 164.61088	 3.087114e-07	 5.8005001	 461.75132	 Si PPv (Sakai)
283	 0.0067711365	 164.61054	 3.2770278e-07	 5.8004976	 461.7511	 Si PPv (Sakai)
284	 0.0069072328	 164.61019	 3.4786247e-07	 5.800495	 461.75086	 Si PPv (Sakai)
285	 0.0070460645	 164.60981	 3.6926235e-07	 5.8004923	 461.75062	 Si PPv (Sakai)
286	 0.0071876867	 164.60943	 3.919787e-07	 5.8004895	 461.75036	 Si PPv (Sakai)
287	 0.0073321555	 164.60903	 4.1609252e-07	 5.8004866	 461.75009	 Si PPv (Sakai)
288	 0.0074795279	 164.60861	 4.4168977e-07	 5.8004835	 461.74982	 Si PPv (Sakai)
289	 0.0076298625	 164.60818	 4.6886172e-07	 5.8004803	 461.74953	 Si PPv (Sakai)
290	 0.0077832188	 164.60772	 4.9770522e-07	 5.800477	 461.74923	 Si PPv (Sakai)
291	 0.0079396574	 164.60725	 5.2832312e-07	 5.8004736	 461.74892	 Si PPv (Sakai)
292	 0.0080992403	 164.60676	 5.6082457e-07	 5.80047	 461.7486	 Si PPv (Sakai)
293	 0.0082620308	 164.60625	 5.9532543e-07	 5.8004663	 461.74826	 Si PPv (Sakai)
294	 0.0084280933	 164.60572	 6.3194872e-07	 5.8004624	 461.74791	 Si PPv (Sakai)
295	 0.0085974936	 164.60517	 6.7082499e-07	 5.8004584	 461.74755	 Si PPv (Sakai)
296	 0.0087702987	 164.6046	 7.1209284e-07	 5.8004542	 461.74717	 Si PPv (Sakai)
297	 0.0089465771	 164.604	 7.558994e-07	 5.8004498	 461.74677	 Si PPv (Sakai)
298	 0.0091263987	 164.60338	 8.0240083e-07	 5.8004453	 461.74636	 Si PPv (Sakai)
299	 0.0093098345	 164.60273	 8.5176293e-07	 5.8004406	 461.74593	 Si PPv (Sakai)
300	 0.0094969574	 164.60206	 9.0416167e-07	 5.8004356	 461.74549	 Si PPv (Sakai)
301	 0.0096878413	 164.60136	 9.5978386e-07	 5.8004305	 461.74502	 Si PPv (Sakai)
302	 0.0098825619	 164.60063	 1.0188278e-06	 5.8004252	 461.74454	 Si PPv (Sakai)
303	 0.010081196	 164.59987	 1.081504e-06	 5.8004196	 461.74404	 Si PPv (Sakai)
304	 0.010283823	 164.59908	 1.1480358e-06	 5.8004139	 461.74352	 Si PPv (Sakai)
305	 0.010490523	 164.59826	 1.2186605e-06	 5.8004079	 461.74298	 Si PPv (Sakai)
306	 0.010701377	 164.5974	 1.2936299e-06	 5.8004016	 461.74241	 Si PPv (Sakai)
307	 0.010916469	 164.59651	 1.3732112e-06	 5.8003951	 461.74182	 Si PPv (Sakai)
308	 0.011135884	 164.59559	 1.4576881e-06	 5.8003883	 461.74121	 Si PPv (Sakai)
309	 0.01135971	 164.59463	 1.5473619e-06	 5.8003813	 461.74057	 Si PPv (Sakai)
310	 0.011588034	 164.59362	 1.6425521e-06	 5.800374	 461.73991	 Si PPv (Sakai)
311	 0.011820948	 164.59258	 1.7435981e-06	 5.8003664	 461.73922	 Si PPv (Sakai)
312	 0.012058543	 164.59149	 1.8508602e-06	 5.8003584	 461.73851	 Si PPv (Sakai)
313	 0.012300913	 164.59037	 1.9647208e-06	 5.8003502	 461.73776	 Si PPv (Sakai)
314	 0.012548155	 164.58919	 2.0855857e-06	 5.8003416	 461.73698	 Si PPv (Sakai)
315	 0.012800367	 164.58797	 2.2138859e-06	 5.8003326	 461.73617	 Si PPv (Sakai)
316	 0.013057648	 164.58669	 2.3500787e-06	 5.8003233	 461.73533	 Si PPv (Sakai)
317	 0.0133201	 164.58537	 2.4946497e-06	 5.8003136	 461.73446	 Si PPv (Sakai)
318	 0.013587827	 164.58399	 2.6481142e-06	 5.8003036	 461.73355	 Si PPv (Sakai)
319	 0.013860935	 164.58256	 2.8110193e-06	 5.8002931	 461.7326	 Si PPv (Sakai)
320	 0.014139533	 164.58106	 2.9839458e-06	 5.8002822	 461.73161	 Si PPv (Sakai)
321	 0.014423731	 164.57951	 3.1675102e-06	 5.8002708	 461.73058	 Si PPv (Sakai)
322	 0.01471364	 164.5779	 3.3623669e-06	 5.800259	 461.72952	 Si PPv (Sakai)
323	 0.015009377	 164.57621	 3.5692104e-06	 5.8002467	 461.7284	 Si PPv (Sakai)
324	 0.015311058	 164.57446	 3.7887781e-06	 5.8002339	 461.72725	 Si PPv (Sakai)
325	 0.015618803	 164.57264	 4.0218529e-06	 5.8002206	 461.72604	 Si PPv (Sakai)
326	 0.015932733	 164.57075	 4.2692655e-06	 5.8002068	 461.72479	 Si PPv (Sakai)
327	 0.016252973	 164.56878	 4.531898e-06	 5.8001924	 461.72349	 Si PPv (Sakai)
328	 0.01657965	 164.56673	 4.8106866e-06	 5.8001774	 461.72213	 Si PPv (Sakai)
329	 0.016912892	 164.56459	 5.1066251e-06	 5.8001617	 461.72072	 Si PPv (Sakai)
330	 0.017252833	 164.56237	 5.4207685e-06	 5.8001455	 461.71925	 Si PPv (Sakai)
331	 0.017599607	 164.56006	 5.7542366e-06	 5.8001286	 461.71772	 Si PPv (Sakai)
332	 0.01795335	 164.55765	 6.1082183e-06	 5.800111	 461.71613	 Si PPv (Sakai)
333	 0.018314204	 164.55515	 6.4839752e-06	 5.8000927	 461.71448	 Si PPv (Sakai)
334	 0.01868231	 164.55254	 6.882847e-06	 5.8000737	 461.71275	 Si PPv (Sakai)
335	 0.019057816	 164.54983	 7.3062554e-06	 5.8000539	 461.71096	 Si PPv (Sakai)
336	 0.019440869	 164.54701	 7.7557098e-06	 5.8000332	 461.7091	 Si PPv (Sakai)
337	 0.019831621	 164.54407	 8.2328124e-06	 5.8000118	 461.70716	 Si PPv (Sakai)
338	 0.020230227	 164.54102	 8.7392638e-06	 5.7999894	 461.70514	 Si PPv (Sakai)
339	 0.020636845	 164.53784	 9.2768694e-06	 5.7999662	 461.70304	 Si PPv (Sakai)
340	 0.021051636	 164.53453	 9.8475455e-06	 5.799942	 461.70085	 Si PPv (Sakai)
341	 0.021474764	 164.53109	 1.0453326e-05	 5.7999169	 461.69857	 Si PPv (Sakai)
342	 0.021906397	 164.52751	 1.1096371e-05	 5.7998907	 461.6962	 Si PPv (Sakai)
343	 0.022346705	 164.52378	 1.1778972e-05	 5.7998634	 461.69374	 Si PPv (Sakai)
344	 0.022795863	 164.5199	 1.2503563e-05	 5.7998351	 461.69118	 Si PPv (Sakai)
345	 0.02325405	 164.51587	 1.3272726e-05	 5.7998056	 461.68851	 Si PPv (Sakai)
346	 0.023721446	 164.51167	 1.4089202e-05	 5.7997749	 461.68573	 Si PPv (Sakai)
347	 0.024198236	 164.5073	 1.4955903e-05	 5.7997429	 461.68284	 Si PPv (Sakai)
348	 0.02468461	 164.50275	 1.5875916e-05	 5.7997097	 461.67983	 Si PPv (Sakai)
349	 0.025180759	 164.49802	 1.6852523e-05	 5.7996751	 461.67671	 Si PPv (Sakai)
350	 0.025686881	 164.49309	 1.7889203e-05	 5.799639	 461.67345	 Si PPv (Sakai)
351	 0.026203176	 164.48797	 1.8989651e-05	 5.7996016	 461.67006	 Si PPv (Sakai)
352	 0.026729849	 164.48264	 2.015779e-05	 5.7995626	 461.66654	 Si PPv (Sakai)
353	 0.027267107	 164.47709	 2.1397784e-05	 5.799522	 461.66287	 Si PPv (Sakai)
354	 0.027815165	 164.47132	 2.2714051e-05	 5.7994798	 461.65905	 Si PPv (Sakai)
355	 0.028374238	 164.46531	 2.4111283e-05	 5.7994359	 461.65507	 Si PPv (Sakai)
356	 0.028944548	 164.45905	 2.559446e-05	 5.7993902	 461.65094	 Si PPv (Sakai)
357	 0.029526321	 164.45255	 2.7168869e-05	 5.7993426	 461.64664	 Si PPv (Sakai)
358	 0.030119788	 164.44578	 2.8840119e-05	 5.7992931	 461.64216	 Si PPv (Sakai)
359	 0.030725184	 164.43873	 3.0614168e-05	 5.7992416	 461.6375	 Si PPv (Sakai)
360	 0.031342748	 164.4314	 3.2497338e-05	 5.799188	 461.63265	 Si PPv (Sakai)
361	 0.031972725	 164.42378	 3.449634e-05	 5.7991322	 461.62761	 Si PPv (Sakai)
362	 0.032615364	 164.41584	 3.6618299e-05	 5.7990741	 461.62236	 Si PPv (Sakai)
363	 0.033270921	 164.40758	 3.8870775e-05	 5.7990137	 461.6169	 Si PPv (Sakai)
364	 0.033939654	 164.39898	 4.1261797e-05	 5.7989509	 461.61121	 Si PPv (Sakai)
365	 0.034621828	 164.39004	 4.3799885e-05	 5.7988855	 461.6053	 Si PPv (Sakai)
366	 0.035317714	 164.38073	 4.6494084e-05	 5.7988174	 461.59914	 Si PPv (Sakai)
367	 0.036027588	 164.37105	 4.9353994e-05	 5.7987466	 461.59273	 Si PPv (Sakai)
368	 0.03675173	 164.36097	 5.2389805e-05	 5.7986728	 461.58607	 Si PPv (Sakai)
369	 0.037490427	 164.35048	 5.5612337e-05	 5.7985961	 461.57913	 Si PPv (Sakai)
370	 0.038243972	 164.33957	 5.9033071e-05	 5.7985163	 461.57191	 Si PPv (Sakai)
371	 0.039012663	 164.32821	 6.2664196e-05	 5.7984333	 461.5644	 Si PPv (Sakai)
372	 0.039796806	 164.3164	 6.6518649e-05	 5.7983468	 461.55658	 Si PPv (Sakai)
373	 0.040596709	 164.3041	 7.0610165e-05	 5.7982569	 461.54845	 Si PPv (Sakai)
374	 0.041412691	 164.29131	 7.4953321e-05	 5.7981633	 461.53998	 Si PPv (Sakai)
375	 0.042245074	 164.27799	 7.9563591e-05	 5.7980659	 461.53117	 Si PPv (Sakai)
376	 0.043094188	 164.26414	 8.4457399e-05	 5.7979646	 461.52201	 Si PPv (Sakai)
377	 0.043960369	 164.24973	 8.9652181e-05	 5.7978591	 461.51247	 Si PPv (Sakai)
